Cluster,Model Name,Faithfulness,Answer Relevancy,LLM Rubric,Average Score
G,openai/gpt-5-chat,0.8105835803,0.8839200582,0.8777348066,0.8574128151
Y,google/gemini-2.5-flash-lite,0.8914689925,0.8413382694,0.769558011,0.8341217577
G,google/gemini-2.5-pro,0.82804322,0.8544718855,0.8097790055,0.8307647037
Y,google/gemini-2.5-flash,0.9420479819,0.7638442299,0.7664640884,0.8241187668
Y,x-ai/grok-4-fast,0.8987926837,0.7497539474,0.8155801105,0.8213755805
G,qwen/qwen3-max,0.7195112246,0.8272867573,0.8316022099,0.7928000639
G,mistralai/mistral-small-3.2-24b-instruct,0.7575487688,0.8620151238,0.7403867403,0.786650211
G,mistralai/mistral-medium-3.1,0.646809067,0.8599945473,0.8486740331,0.7851592158
Y,deepseek/deepseek-chat-v3.1,0.7390713897,0.8188183744,0.7760220994,0.7779706212
Y,anthropic/claude-sonnet-4.5,0.7101289462,0.7838523764,0.8392265193,0.7777359473
G,openai/gpt-oss-20b:free,0.5605205138,0.8723153203,0.8545856354,0.7624738232
Y,anthropic/claude-haiku-4.5,0.8102242076,0.710442887,0.7446961326,0.7551210757
G,anthropic/claude-opus-4.1,0.6010057939,0.8196843842,0.8290055249,0.7498985676
Y,google/gemma-3-12b-it,0.7636172376,0.7699407903,0.7106077348,0.7480552542
G,openai/gpt-5-nano,0.7866918462,0.5894256832,0.8577348066,0.7446174453
G,z-ai/glm-4.6,0.700476318,0.7732055002,0.7189502762,0.7308773648
B,openai/gpt-5-mini,0.747569152,0.5207617322,0.8791160221,0.7158156354
