Selected for Evaluation,Implementation
openai/gpt-5-chat,API
google/gemini-2.5-flash-lite,API
google/gemini-2.5-pro,API
google/gemini-2.5-flash,API
x-ai/grok-4-fast,API
qwen/qwen3-max,API
mistralai/mistral-small-3.2-24b-instruct,Open weights and API
mistralai/mistral-medium-3.1,API
deepseek/deepseek-chat-v3.1,Open weights and API
anthropic/claude-sonnet-4.5,API
openai/gpt-oss-20b:free,Open weights and API
anthropic/claude-haiku-4.5,API
anthropic/claude-opus-4.1,API
google/gemma-3-12b-it,Open weights and API
openai/gpt-5-nano,API
z-ai/glm-4.6,Open weights and API
openai/gpt-5-mini,API
